id,course_name,category,description,price,level,status
349,Marketing Automation with HubSpot & ActiveCampaign: Certification Prep,Marketing,"Comprehensive training program focusing on marketing automation with hubspot & activecampaign with practical focus on certification prep, case studies, and hands-on exercises.",4999,Intermediate,Active
350,Web3 & Smart Contract Engineering with Solidity: Hands-on Workshop,Technology,"Comprehensive training program focusing on web3 & smart contract engineering with solidity with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Inactive
351,Incident Response & Digital Forensics (DFIR): Mastery,Cybersecurity,"Comprehensive training program focusing on incident response & digital forensics (dfir) with practical focus on mastery, case studies, and hands-on exercises.",9499,Advanced,Active
352,Drafting Commercial Contracts & Service Agreements - Zero to Hero,Law,"Comprehensive training program focusing on drafting commercial contracts & service agreements with practical focus on zero to hero, case studies, and hands-on exercises.",4499,Beginner,Active
353,Competition Law & Anti-Trust Regulations: Hands-on Workshop,Law,"Comprehensive training program focusing on competition law & anti-trust regulations with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
354,Strategy & Implementation: Site Reliability Engineering (SRE) Best Practices,Technology,"Comprehensive training program focusing on site reliability engineering (sre) best practices with practical focus on strategy & implementation, case studies, and hands-on exercises.",5999,Intermediate,Active
355,Brand Management & Positioning Strategy - Fundamentals,Marketing,"Comprehensive training program focusing on brand management & positioning strategy with practical focus on fundamentals, case studies, and hands-on exercises.",3499,Beginner,Active
356,Fundamentals: CS Executive Securities Laws & Capital Markets,CS,"Comprehensive training program focusing on cs executive securities laws & capital markets with practical focus on fundamentals, case studies, and hands-on exercises.",6999,Beginner,Inactive
357,CS Professional Resolution of Corporate Disputes: In-Depth Series,CS,"Comprehensive training program focusing on cs professional resolution of corporate disputes with practical focus on in-depth series, case studies, and hands-on exercises.",13499,Advanced,Active
358,Certification Prep: CS Executive Jurisprudence & Interpretation,CS,"Comprehensive training program focusing on cs executive jurisprudence & interpretation with practical focus on certification prep, case studies, and hands-on exercises.",9999,Intermediate,Inactive
359,Zero Trust Architecture Implementation: Hands-on Workshop,Cybersecurity,"Comprehensive training program focusing on zero trust architecture implementation with practical focus on hands-on workshop, case studies, and hands-on exercises.",9499,Advanced,Active
360,CA Intermediate Corporate Accounting - Mastery,CA,"Comprehensive training program focusing on ca intermediate corporate accounting with practical focus on mastery, case studies, and hands-on exercises.",14999,Advanced,Active
361,Frameworks & Best Practices: Performance Marketing & Paid Ads on Meta & Google,Marketing,"Comprehensive training program focusing on performance marketing & paid ads on meta & google with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4999,Intermediate,Active
362,Specialization: SEBI Compliance & Listing Obligations (LODR),CS,"Comprehensive training program focusing on sebi compliance & listing obligations (lodr) with practical focus on specialization, case studies, and hands-on exercises.",9999,Intermediate,Active
363,Advanced Practice: Marketing Automation with HubSpot & ActiveCampaign,Marketing,"Comprehensive training program focusing on marketing automation with hubspot & activecampaign with practical focus on advanced practice, case studies, and hands-on exercises.",6499,Advanced,Active
364,Advanced Auditing and Professional Ethics: Real-World Projects,CA,"Comprehensive training program focusing on advanced auditing and professional ethics with practical focus on real-world projects, case studies, and hands-on exercises.",14999,Advanced,Active
365,Comprehensive Guide: Direct Tax Withholding (TDS/TCS) Compliance,Taxation,"Comprehensive training program focusing on direct tax withholding (tds/tcs) compliance with practical focus on comprehensive guide, case studies, and hands-on exercises.",5499,Intermediate,Active
366,CMA Final Corporate Financial Reporting (CFR) - In-Depth Series,CMA,"Comprehensive training program focusing on cma final corporate financial reporting (cfr) with practical focus on in-depth series, case studies, and hands-on exercises.",13499,Advanced,Active
367,Practical Applications: CS Executive Securities Laws & Capital Markets,CS,"Comprehensive training program focusing on cs executive securities laws & capital markets with practical focus on practical applications, case studies, and hands-on exercises.",9999,Intermediate,Active
368,Corporate Governance & Board Advisory - Mastery,CS,"Comprehensive training program focusing on corporate governance & board advisory with practical focus on mastery, case studies, and hands-on exercises.",13499,Advanced,Active
369,Information Systems Control & Audit (ISCA): Zero to Hero,CA,"Comprehensive training program focusing on information systems control & audit (isca) with practical focus on zero to hero, case studies, and hands-on exercises.",7999,Beginner,Active
370,Mastery: Direct Tax Laws and International Taxation,CA,"Comprehensive training program focusing on direct tax laws and international taxation with practical focus on mastery, case studies, and hands-on exercises.",14999,Advanced,Active
371,Practical Applications: Big Data Processing with Databricks & PySpark,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on practical applications, case studies, and hands-on exercises.",7499,Intermediate,Active
372,Certified Internal Auditor (CIA) Comprehensive: Bootcamp,Certification,"Comprehensive training program focusing on certified internal auditor (cia) comprehensive with practical focus on bootcamp, case studies, and hands-on exercises.",7999,Intermediate,Active
373,MLOps: Production ML Pipelines with MLflow: Executive Training,Data Science,"Comprehensive training program focusing on mlops: production ml pipelines with mlflow with practical focus on executive training, case studies, and hands-on exercises.",7499,Intermediate,Active
374,Business Model Innovation & Startup Scaling: In-Depth Series,Management,"Comprehensive training program focusing on business model innovation & startup scaling with practical focus on in-depth series, case studies, and hands-on exercises.",5999,Intermediate,Active
375,SOC Analyst Level 1 & Threat Monitoring - Certification Prep,Cybersecurity,"Comprehensive training program focusing on soc analyst level 1 & threat monitoring with practical focus on certification prep, case studies, and hands-on exercises.",4999,Beginner,Active
376,Anti-Money Laundering (AML) & CFT Compliance in Banking - Hands-on Workshop,Banking,"Comprehensive training program focusing on anti-money laundering (aml) & cft compliance in banking with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
377,Deep Learning & Neural Architectures with PyTorch: Certification Prep,Data Science,"Comprehensive training program focusing on deep learning & neural architectures with pytorch with practical focus on certification prep, case studies, and hands-on exercises.",10499,Advanced,Active
378,Accounts Payable & Receivable Automation - Certification Prep,Accounting,"Comprehensive training program focusing on accounts payable & receivable automation with practical focus on certification prep, case studies, and hands-on exercises.",4499,Intermediate,Active
379,Global Supply Chain & Procurement Strategy: Real-World Projects,Management,"Comprehensive training program focusing on global supply chain & procurement strategy with practical focus on real-world projects, case studies, and hands-on exercises.",5999,Intermediate,Inactive
380,Kubernetes & Docker Container Orchestration - Hands-on Workshop,Technology,"Comprehensive training program focusing on kubernetes & docker container orchestration with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
381,Marketing Automation with HubSpot & ActiveCampaign: In-Depth Series,Marketing,"Comprehensive training program focusing on marketing automation with hubspot & activecampaign with practical focus on in-depth series, case studies, and hands-on exercises.",4999,Intermediate,Active
382,Real-World Projects: B2B Sales Funnels & Account-Based Marketing (ABM),Marketing,"Comprehensive training program focusing on b2b sales funnels & account-based marketing (abm) with practical focus on real-world projects, case studies, and hands-on exercises.",4999,Intermediate,Active
383,CMA Intermediate Indirect Taxation: Hands-on Workshop,CMA,"Comprehensive training program focusing on cma intermediate indirect taxation with practical focus on hands-on workshop, case studies, and hands-on exercises.",9999,Intermediate,Active
384,Certification Prep: Strategic Financial Management,CA,"Comprehensive training program focusing on strategic financial management with practical focus on certification prep, case studies, and hands-on exercises.",10999,Intermediate,Active
385,Go (Golang) Microservices Architecture - Advanced Practice,Technology,"Comprehensive training program focusing on go (golang) microservices architecture with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Active
386,Corporate Treasury Management - Certification Prep,Finance,"Comprehensive training program focusing on corporate treasury management with practical focus on certification prep, case studies, and hands-on exercises.",6999,Intermediate,Active
387,Certified Internal Auditor (CIA) Comprehensive: Practical Applications,Certification,"Comprehensive training program focusing on certified internal auditor (cia) comprehensive with practical focus on practical applications, case studies, and hands-on exercises.",7999,Intermediate,Active
388,Frameworks & Best Practices: CA Intermediate Costing & FM,CA,"Comprehensive training program focusing on ca intermediate costing & fm with practical focus on frameworks & best practices, case studies, and hands-on exercises.",10999,Intermediate,Active
389,A/B Testing & Conversion Rate Optimization (CRO) - Practical Applications,Business Analytics,"Comprehensive training program focusing on a/b testing & conversion rate optimization (cro) with practical focus on practical applications, case studies, and hands-on exercises.",5999,Intermediate,Active
390,Real-World Projects: RESTful API Engineering with FastAPI,Technology,"Comprehensive training program focusing on restful api engineering with fastapi with practical focus on real-world projects, case studies, and hands-on exercises.",5999,Intermediate,Active
391,Cloud Cost Optimization (FinOps) Best Practices: Practical Applications,Cloud Computing,"Comprehensive training program focusing on cloud cost optimization (finops) best practices with practical focus on practical applications, case studies, and hands-on exercises.",6499,Intermediate,Inactive
392,In-Depth Series: IFRS and Ind AS Convergence,CA,"Comprehensive training program focusing on ifrs and ind as convergence with practical focus on in-depth series, case studies, and hands-on exercises.",10999,Intermediate,Active
393,Practical Applications: Retail & Sales Performance Analytics,Business Analytics,"Comprehensive training program focusing on retail & sales performance analytics with practical focus on practical applications, case studies, and hands-on exercises.",5999,Intermediate,Inactive
394,Frameworks & Best Practices: Data Visualization with Matplotlib & Seaborn,Data Science,"Comprehensive training program focusing on data visualization with matplotlib & seaborn with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7499,Intermediate,Active
395,Direct Tax Withholding (TDS/TCS) Compliance: Hands-on Workshop,Taxation,"Comprehensive training program focusing on direct tax withholding (tds/tcs) compliance with practical focus on hands-on workshop, case studies, and hands-on exercises.",5499,Intermediate,Active
396,CA Intermediate Corporate Accounting - Certification Prep,CA,"Comprehensive training program focusing on ca intermediate corporate accounting with practical focus on certification prep, case studies, and hands-on exercises.",10999,Intermediate,Active
397,B2B Sales Funnels & Account-Based Marketing (ABM) - Hands-on Workshop,Marketing,"Comprehensive training program focusing on b2b sales funnels & account-based marketing (abm) with practical focus on hands-on workshop, case studies, and hands-on exercises.",4999,Intermediate,Active
398,CFA Level 2 Deep Dive & Practice Sets - Advanced Practice,Certification,"Comprehensive training program focusing on cfa level 2 deep dive & practice sets with practical focus on advanced practice, case studies, and hands-on exercises.",10999,Advanced,Active
399,Hands-on Workshop: CA Foundation Accounting Basics,CA,"Comprehensive training program focusing on ca foundation accounting basics with practical focus on hands-on workshop, case studies, and hands-on exercises.",7999,Beginner,Active
400,Edge Computing & Cloud Migration Strategies: Fundamentals,Cloud Computing,"Comprehensive training program focusing on edge computing & cloud migration strategies with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Inactive
401,Consolidated Financial Statements Preparation: Executive Training,Accounting,"Comprehensive training program focusing on consolidated financial statements preparation with practical focus on executive training, case studies, and hands-on exercises.",4499,Intermediate,Active
402,Fundamentals: SOC Analyst Level 1 & Threat Monitoring,Cybersecurity,"Comprehensive training program focusing on soc analyst level 1 & threat monitoring with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Inactive
403,Corporate Governance & Board Advisory - Advanced Practice,CS,"Comprehensive training program focusing on corporate governance & board advisory with practical focus on advanced practice, case studies, and hands-on exercises.",13499,Advanced,Active
404,Leveraged Buyout (LBO) Modeling: Strategy & Implementation,Finance,"Comprehensive training program focusing on leveraged buyout (lbo) modeling with practical focus on strategy & implementation, case studies, and hands-on exercises.",6999,Intermediate,Active
405,CS Executive Setting up Business Entities: Executive Training,CS,"Comprehensive training program focusing on cs executive setting up business entities with practical focus on executive training, case studies, and hands-on exercises.",9999,Intermediate,Active
406,RESTful API Engineering with FastAPI: Zero to Hero,Technology,"Comprehensive training program focusing on restful api engineering with fastapi with practical focus on zero to hero, case studies, and hands-on exercises.",4499,Beginner,Active
407,Privilege Escalation & Red Team Tactics: Frameworks & Best Practices,Cybersecurity,"Comprehensive training program focusing on privilege escalation & red team tactics with practical focus on frameworks & best practices, case studies, and hands-on exercises.",6999,Intermediate,Active
408,Strategy & Implementation: Tax Audits under Section 44AB,Taxation,"Comprehensive training program focusing on tax audits under section 44ab with practical focus on strategy & implementation, case studies, and hands-on exercises.",5499,Intermediate,Active
409,Bootcamp: Computer Vision with OpenCV & PyTorch,Data Science,"Comprehensive training program focusing on computer vision with opencv & pytorch with practical focus on bootcamp, case studies, and hands-on exercises.",7499,Intermediate,Active
410,FRM (Financial Risk Manager) Level 1 Prep - Practical Applications,Certification,"Comprehensive training program focusing on frm (financial risk manager) level 1 prep with practical focus on practical applications, case studies, and hands-on exercises.",5999,Beginner,Active
411,Six Sigma Green Belt Certification Training - Executive Training,Certification,"Comprehensive training program focusing on six sigma green belt certification training with practical focus on executive training, case studies, and hands-on exercises.",7999,Intermediate,Active
412,Machine Learning from Scratch with Python - Mastery,Data Science,"Comprehensive training program focusing on machine learning from scratch with python with practical focus on mastery, case studies, and hands-on exercises.",10499,Advanced,Active
413,Labor & Employment Laws Compliance - Hands-on Workshop,Law,"Comprehensive training program focusing on labor & employment laws compliance with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
414,AWS Certified Solutions Architect Associate: Specialization,Cloud Computing,"Comprehensive training program focusing on aws certified solutions architect associate with practical focus on specialization, case studies, and hands-on exercises.",4999,Beginner,Active
415,Growth Hacking & Viral Loop Engineering - Frameworks & Best Practices,Marketing,"Comprehensive training program focusing on growth hacking & viral loop engineering with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4999,Intermediate,Active
416,Advanced Practice: Retail Banking Operations & Customer KYC,Banking,"Comprehensive training program focusing on retail banking operations & customer kyc with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Active
417,Cross-Platform Mobile with Flutter - Hands-on Workshop,Technology,"Comprehensive training program focusing on cross-platform mobile with flutter with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
418,IFRS and Ind AS Convergence - Mastery,CA,"Comprehensive training program focusing on ifrs and ind as convergence with practical focus on mastery, case studies, and hands-on exercises.",14999,Advanced,Active
419,CMA Intermediate Cost & Management Accounting and Financial Mgmt - Mastery,CMA,"Comprehensive training program focusing on cma intermediate cost & management accounting and financial mgmt with practical focus on mastery, case studies, and hands-on exercises.",13499,Advanced,Active
420,Strategy & Implementation: CMA Intermediate Laws & Ethics,CMA,"Comprehensive training program focusing on cma intermediate laws & ethics with practical focus on strategy & implementation, case studies, and hands-on exercises.",9999,Intermediate,Active
421,B2B Sales Funnels & Account-Based Marketing (ABM): Mastery,Marketing,"Comprehensive training program focusing on b2b sales funnels & account-based marketing (abm) with practical focus on mastery, case studies, and hands-on exercises.",6499,Advanced,Active
422,Strategy & Implementation: Internal Audit & Risk-Based Assurance,CA,"Comprehensive training program focusing on internal audit & risk-based assurance with practical focus on strategy & implementation, case studies, and hands-on exercises.",10999,Intermediate,Active
423,Comprehensive Guide: Site Reliability Engineering (SRE) Best Practices,Technology,"Comprehensive training program focusing on site reliability engineering (sre) best practices with practical focus on comprehensive guide, case studies, and hands-on exercises.",5999,Intermediate,Active
424,Fundamentals: CMA Intermediate Operations Mgmt & Strategic Mgmt,CMA,"Comprehensive training program focusing on cma intermediate operations mgmt & strategic mgmt with practical focus on fundamentals, case studies, and hands-on exercises.",6999,Beginner,Active
425,CA Foundation Accounting Basics: Practical Applications,CA,"Comprehensive training program focusing on ca foundation accounting basics with practical focus on practical applications, case studies, and hands-on exercises.",7999,Beginner,Active
426,Scrum Alliance Certified ScrumMaster (CSM): Fundamentals,Certification,"Comprehensive training program focusing on scrum alliance certified scrummaster (csm) with practical focus on fundamentals, case studies, and hands-on exercises.",5999,Beginner,Active
427,"Arbitration, Conciliation & ADR Mechanism - Comprehensive Guide",Law,"Comprehensive training program focusing on arbitration, conciliation & adr mechanism with practical focus on comprehensive guide, case studies, and hands-on exercises.",5999,Intermediate,Active
428,CS Professional Secretarial Audit & Compliance: Certification Prep,CS,"Comprehensive training program focusing on cs professional secretarial audit & compliance with practical focus on certification prep, case studies, and hands-on exercises.",13499,Advanced,Active
429,Microsoft Azure Administrator (AZ-104) - Bootcamp,Cloud Computing,"Comprehensive training program focusing on microsoft azure administrator (az-104) with practical focus on bootcamp, case studies, and hands-on exercises.",6499,Intermediate,Active
430,Corporate & Economic Laws - Fundamentals,CA,"Comprehensive training program focusing on corporate & economic laws with practical focus on fundamentals, case studies, and hands-on exercises.",7999,Beginner,Active
431,CMA Foundation Business Mathematics & Statistics: Mastery,CMA,"Comprehensive training program focusing on cma foundation business mathematics & statistics with practical focus on mastery, case studies, and hands-on exercises.",6999,Beginner,Active
432,Strategy & Implementation: Venture Capital Due Diligence,Finance,"Comprehensive training program focusing on venture capital due diligence with practical focus on strategy & implementation, case studies, and hands-on exercises.",6999,Intermediate,Active
433,"Specialization: Product Management: MVP, Strategy & Roadmapping",Management,"Comprehensive training program focusing on product management: mvp, strategy & roadmapping with practical focus on specialization, case studies, and hands-on exercises.",5999,Intermediate,Active
434,CMA Final Indirect Tax Laws & Practice - Frameworks & Best Practices,CMA,"Comprehensive training program focusing on cma final indirect tax laws & practice with practical focus on frameworks & best practices, case studies, and hands-on exercises.",13499,Advanced,Active
435,Advanced Practice: Letter of Credit (LC) & Bank Guarantee Mechanism,Banking,"Comprehensive training program focusing on letter of credit (lc) & bank guarantee mechanism with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Active
436,Mastery: Deep Learning & Neural Architectures with PyTorch,Data Science,"Comprehensive training program focusing on deep learning & neural architectures with pytorch with practical focus on mastery, case studies, and hands-on exercises.",10499,Advanced,Active
437,Privilege Escalation & Red Team Tactics - Zero to Hero,Cybersecurity,"Comprehensive training program focusing on privilege escalation & red team tactics with practical focus on zero to hero, case studies, and hands-on exercises.",4999,Beginner,Active
438,CS Professional Advanced Tax Laws - Advanced Practice,CS,"Comprehensive training program focusing on cs professional advanced tax laws with practical focus on advanced practice, case studies, and hands-on exercises.",13499,Advanced,Active
439,"Data Governance, Privacy & Ethics - Specialization",Data Science,"Comprehensive training program focusing on data governance, privacy & ethics with practical focus on specialization, case studies, and hands-on exercises.",7499,Intermediate,Active
440,Executive Training: Labor & Employment Laws Compliance,Law,"Comprehensive training program focusing on labor & employment laws compliance with practical focus on executive training, case studies, and hands-on exercises.",5999,Intermediate,Active
441,Certification Prep: Fixed Income Securities & Bond Math,Finance,"Comprehensive training program focusing on fixed income securities & bond math with practical focus on certification prep, case studies, and hands-on exercises.",6999,Intermediate,Active
442,Six Sigma Green Belt Certification Training - Frameworks & Best Practices,Certification,"Comprehensive training program focusing on six sigma green belt certification training with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7999,Intermediate,Active
443,Applied Statistics & Hypothesis Testing: Frameworks & Best Practices,Data Science,"Comprehensive training program focusing on applied statistics & hypothesis testing with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7499,Intermediate,Inactive
444,Real-World Projects: CS Executive Setting up Business Entities,CS,"Comprehensive training program focusing on cs executive setting up business entities with practical focus on real-world projects, case studies, and hands-on exercises.",9999,Intermediate,Inactive
445,Cloud Security Posture Management (CSPM) - Strategy & Implementation,Cybersecurity,"Comprehensive training program focusing on cloud security posture management (cspm) with practical focus on strategy & implementation, case studies, and hands-on exercises.",6999,Intermediate,Active
446,Valuation under Companies Act - Specialization,CA,"Comprehensive training program focusing on valuation under companies act with practical focus on specialization, case studies, and hands-on exercises.",10999,Intermediate,Active
447,Deep Learning & Neural Architectures with PyTorch: Real-World Projects,Data Science,"Comprehensive training program focusing on deep learning & neural architectures with pytorch with practical focus on real-world projects, case studies, and hands-on exercises.",10499,Advanced,Active
448,Cross-Functional Team Collaboration & OKRs - Specialization,Management,"Comprehensive training program focusing on cross-functional team collaboration & okrs with practical focus on specialization, case studies, and hands-on exercises.",5999,Intermediate,Active
449,Certified Internal Auditor (CIA) Comprehensive: Mastery,Certification,"Comprehensive training program focusing on certified internal auditor (cia) comprehensive with practical focus on mastery, case studies, and hands-on exercises.",10999,Advanced,Active
450,MLOps: Production ML Pipelines with MLflow - Zero to Hero,Data Science,"Comprehensive training program focusing on mlops: production ml pipelines with mlflow with practical focus on zero to hero, case studies, and hands-on exercises.",5499,Beginner,Active
451,CS Executive Jurisprudence & Interpretation: Fundamentals,CS,"Comprehensive training program focusing on cs executive jurisprudence & interpretation with practical focus on fundamentals, case studies, and hands-on exercises.",6999,Beginner,Active
452,Executive Training: CS Executive Jurisprudence & Interpretation,CS,"Comprehensive training program focusing on cs executive jurisprudence & interpretation with practical focus on executive training, case studies, and hands-on exercises.",9999,Intermediate,Active
453,CMA Final Indirect Tax Laws & Practice - Fundamentals,CMA,"Comprehensive training program focusing on cma final indirect tax laws & practice with practical focus on fundamentals, case studies, and hands-on exercises.",6999,Beginner,Active
454,Java Spring Boot Enterprise Architecture: Bootcamp,Technology,"Comprehensive training program focusing on java spring boot enterprise architecture with practical focus on bootcamp, case studies, and hands-on exercises.",7999,Advanced,Active
455,Network Security Architecture & Firewalls - Executive Training,Cybersecurity,"Comprehensive training program focusing on network security architecture & firewalls with practical focus on executive training, case studies, and hands-on exercises.",9499,Advanced,Active
456,Certified Fraud Examiner (CFE) Exam Prep: Strategy & Implementation,Certification,"Comprehensive training program focusing on certified fraud examiner (cfe) exam prep with practical focus on strategy & implementation, case studies, and hands-on exercises.",7999,Intermediate,Active
457,Linux Systems Administration & Shell Scripting - Advanced Practice,Technology,"Comprehensive training program focusing on linux systems administration & shell scripting with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Active
458,Predictive Business Analytics with R - Fundamentals,Business Analytics,"Comprehensive training program focusing on predictive business analytics with r with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
459,CA Intermediate Corporate Accounting: Practical Applications,CA,"Comprehensive training program focusing on ca intermediate corporate accounting with practical focus on practical applications, case studies, and hands-on exercises.",10999,Intermediate,Active
460,"Bootcamp: Legal Drafting, Notice Writing & Petitions",Law,"Comprehensive training program focusing on legal drafting, notice writing & petitions with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Active
461,CA Intermediate Costing & FM - Real-World Projects,CA,"Comprehensive training program focusing on ca intermediate costing & fm with practical focus on real-world projects, case studies, and hands-on exercises.",10999,Intermediate,Active
462,Credit Risk Analysis & Underwriting: Frameworks & Best Practices,Finance,"Comprehensive training program focusing on credit risk analysis & underwriting with practical focus on frameworks & best practices, case studies, and hands-on exercises.",6999,Intermediate,Active
463,Hands-on Workshop: Cross-Functional Team Collaboration & OKRs,Management,"Comprehensive training program focusing on cross-functional team collaboration & okrs with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
464,Mastery: Customer Lifetime Value & Churn Modeling,Business Analytics,"Comprehensive training program focusing on customer lifetime value & churn modeling with practical focus on mastery, case studies, and hands-on exercises.",7999,Advanced,Active
465,DevOps Engineering with CI/CD Pipelines - Mastery,Technology,"Comprehensive training program focusing on devops engineering with ci/cd pipelines with practical focus on mastery, case studies, and hands-on exercises.",7999,Advanced,Active
466,Practical Applications: IFRS and Ind AS Convergence,CA,"Comprehensive training program focusing on ifrs and ind as convergence with practical focus on practical applications, case studies, and hands-on exercises.",10999,Intermediate,Active
467,Accounts Payable & Receivable Automation: Mastery,Accounting,"Comprehensive training program focusing on accounts payable & receivable automation with practical focus on mastery, case studies, and hands-on exercises.",5999,Advanced,Active
468,Hands-on Workshop: CMA Intermediate Company Accounts & Audit,CMA,"Comprehensive training program focusing on cma intermediate company accounts & audit with practical focus on hands-on workshop, case studies, and hands-on exercises.",9999,Intermediate,Active
469,Frameworks & Best Practices: Asset & Liability Management (ALM),Finance,"Comprehensive training program focusing on asset & liability management (alm) with practical focus on frameworks & best practices, case studies, and hands-on exercises.",6999,Intermediate,Active
470,Executive Training: CMA Intermediate Direct Taxation,CMA,"Comprehensive training program focusing on cma intermediate direct taxation with practical focus on executive training, case studies, and hands-on exercises.",9999,Intermediate,Active
471,Internal Audit & Risk-Based Assurance - Practical Applications,CA,"Comprehensive training program focusing on internal audit & risk-based assurance with practical focus on practical applications, case studies, and hands-on exercises.",10999,Intermediate,Inactive
472,Tax Audits under Section 44AB: Comprehensive Guide,Taxation,"Comprehensive training program focusing on tax audits under section 44ab with practical focus on comprehensive guide, case studies, and hands-on exercises.",5499,Intermediate,Inactive
473,Advanced Practice: Islamic Finance Principles,Finance,"Comprehensive training program focusing on islamic finance principles with practical focus on advanced practice, case studies, and hands-on exercises.",9499,Advanced,Active
474,Cost Sheet Preparation & Variance Analysis - Zero to Hero,Accounting,"Comprehensive training program focusing on cost sheet preparation & variance analysis with practical focus on zero to hero, case studies, and hands-on exercises.",2999,Beginner,Active
475,Mastery: Direct Tax Withholding (TDS/TCS) Compliance,Taxation,"Comprehensive training program focusing on direct tax withholding (tds/tcs) compliance with practical focus on mastery, case studies, and hands-on exercises.",7499,Advanced,Active
476,ESG Investing & Sustainable Finance Frameworks - Advanced Practice,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on advanced practice, case studies, and hands-on exercises.",9499,Advanced,Active
477,Fundamentals: Fintech Innovations & Digital Payment Ecosystems,Banking,"Comprehensive training program focusing on fintech innovations & digital payment ecosystems with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
478,CA Foundation Business Mathematics - Crash Course,CA,"Comprehensive training program focusing on ca foundation business mathematics with practical focus on crash course, case studies, and hands-on exercises.",7999,Beginner,Active
479,Frameworks & Best Practices: Expatriate Taxation & Dual Residence Issues,Taxation,"Comprehensive training program focusing on expatriate taxation & dual residence issues with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5499,Intermediate,Inactive
480,ESG Investing & Sustainable Finance Frameworks - Comprehensive Guide,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on comprehensive guide, case studies, and hands-on exercises.",6999,Intermediate,Active
481,Certification Prep: CMA Intermediate Operations Mgmt & Strategic Mgmt,CMA,"Comprehensive training program focusing on cma intermediate operations mgmt & strategic mgmt with practical focus on certification prep, case studies, and hands-on exercises.",9999,Intermediate,Active
482,CFA Level 1 Complete Curriculum Review: Frameworks & Best Practices,Certification,"Comprehensive training program focusing on cfa level 1 complete curriculum review with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5999,Beginner,Active
483,Certification Prep: MLOps: Production ML Pipelines with MLflow,Data Science,"Comprehensive training program focusing on mlops: production ml pipelines with mlflow with practical focus on certification prep, case studies, and hands-on exercises.",7499,Intermediate,Active
484,Big Data Processing with Databricks & PySpark: Crash Course,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on crash course, case studies, and hands-on exercises.",7499,Intermediate,Active
485,In-Depth Series: Malware Analysis & Reverse Engineering,Cybersecurity,"Comprehensive training program focusing on malware analysis & reverse engineering with practical focus on in-depth series, case studies, and hands-on exercises.",6999,Intermediate,Active
486,CMA Intermediate Indirect Taxation - Bootcamp,CMA,"Comprehensive training program focusing on cma intermediate indirect taxation with practical focus on bootcamp, case studies, and hands-on exercises.",9999,Intermediate,Active
487,Advanced Practice: Six Sigma Green Belt Certification Training,Certification,"Comprehensive training program focusing on six sigma green belt certification training with practical focus on advanced practice, case studies, and hands-on exercises.",10999,Advanced,Active
488,Budgetary Control & Standard Costing - Mastery,Accounting,"Comprehensive training program focusing on budgetary control & standard costing with practical focus on mastery, case studies, and hands-on exercises.",5999,Advanced,Active
489,Time Series Forecasting & Anomaly Detection - Practical Applications,Data Science,"Comprehensive training program focusing on time series forecasting & anomaly detection with practical focus on practical applications, case studies, and hands-on exercises.",7499,Intermediate,Active
490,Islamic Finance Principles: Zero to Hero,Finance,"Comprehensive training program focusing on islamic finance principles with practical focus on zero to hero, case studies, and hands-on exercises.",4999,Beginner,Active
491,Mastery: Advanced Auditing and Professional Ethics,CA,"Comprehensive training program focusing on advanced auditing and professional ethics with practical focus on mastery, case studies, and hands-on exercises.",14999,Advanced,Active
492,Human Resource Management & Talent Acquisition: Zero to Hero,Management,"Comprehensive training program focusing on human resource management & talent acquisition with practical focus on zero to hero, case studies, and hands-on exercises.",4499,Beginner,Active
493,Credit Risk Analysis & Underwriting - Fundamentals,Finance,"Comprehensive training program focusing on credit risk analysis & underwriting with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Active
